NAME;STATIONSHOEHE;LAENGE DEZI;BREITE DEZI
FÜRSTENFELD;271;16.08083344;47.0308342
GLEISDORF;377;15.7080555;47.11555481
GRAZ-FLUGHAFEN;340;15.43999958;46.98055649
GRAZ-STRASSGANG;357;15.41027737;47.04611206
GRAZ-UNIVERSITÄT;367;15.44888878;47.07777786
GRÖBMING;766;13.90416622;47.44666672
HALL/ADMONT;637;14.49083328;47.59444427
HARTBERG;330;15.97861004;47.28055573
IRDNING-GUMPENSTEIN;697;14.09972191;47.49499893
KALWANG;744;14.75972176;47.42138672
KAPFENBERG-FLUGFELD;515;15.33555508;47.45833206
KÖFLACH ;463;15.0872221;47.06999969
LASSNITZHÖHE;530;15.59222221;47.07361221
LEOBEN;544;15.08666611;47.37833405
MARIAZELL/ST.SEBASTIAN-FLUGFELD;864;15.30222225;47.7891655
MOOSLANDL;530;14.7616663;47.64749908
MURAU;816;14.17694378;47.11111069
MÜRZZUSCHLAG;705;15.67277718;47.60222244
NEUMARKT;869;14.42472172;47.06972122
OBERWÖLZ;842;14.28666592;47.20194626
PRÄBICHL;1215;14.95416641;47.52166748
RAMSAU AM DACHSTEIN;1207;13.63416672;47.42527771
ROTTENMANN;707;14.43027687;47.50777817
SCHÖCKL;1443;15.4663887;47.19861221
SECKAU;872;14.77861023;47.27083206
ST.RADEGUND;726;15.48972225;47.18222046
STOLZALPE;1291;14.18833256;47.1230545
WAGNA-LEIBNITZ;268;15.55277824;46.76749802
ZELTWEG;678;14.74694443;47.19972229
ACHENKIRCH CAMPINGPLATZ;931;11.70666695;47.49944305
ALPBACH;929;11.94055557;47.39638901
BRENNER;1412;11.51083374;47.00722122
BRUNNENKOGEL;3437;10.86166668;46.91277695
EHRWALD;982;10.91999912;47.40416718
GALTÜR;1587;10.18555546;46.96805573
GALZIG;2079;10.23027706;47.1297226
HAHNENKAMM-EHRENBACHHÖHE;1794;12.3591671;47.41833115
HAHNENKAMM-SONNENRAST;1667;12.35944462;47.40916824
HAIMING;659;10.88944435;47.25972366
HINTERTUX ;1503;11.67472172;47.10694504
HOCHFILZEN;962;12.62111092;47.47027588
HOLZGAU;1092;10.33861065;47.25749969
IMST;773;10.74222183;47.23694229
INNSBRUCK-FLUGPLATZ;578;11.35666656;47.25999832
INNSBRUCK-UNIV.;578;11.38416672;47.25999832
ISCHGL-IDALPE;2327;10.31722164;46.98249817
JENBACH;530;11.75805569;47.38888931
KALS;1352;12.64638901;47.0047226
KIRCHDORF;637;12.46305561;47.56611252
KITZBÜHEL;772;12.38916588;47.44388962
KÖSSEN;588;12.39388847;47.66277695
KUFSTEIN;490;12.1627779;47.57527542
LANDECK;796;10.56361103;47.14027786
LIENZ;661;12.80638885;46.82555389
MAYRHOFEN;640;11.85138893;47.16249847
NAUDERS;1330;10.49694443;46.89110947
NEUSTIFT/MILDERS;1007;11.2919445;47.10277939
OBERGURGL;1942;11.02444363;46.86666489
PATSCHERKOFEL;2251;11.4622221;47.20888901
PITZTALER GLETSCHER;2864;10.87916565;46.92694473
PRUTZ;871;10.66472244;47.06861115
REUTTE;842;10.71527767;47.4944458
RINN;924;11.50388908;47.24916458
SCHMIRN;1464;11.58027744;47.08722305
SEEFELD;1182;11.17555523;47.32472229
SILLIAN;1081;12.42361069;46.74638748
SÖLL;697;12.20027733;47.50305557
ST.ANTON AM ARLBERG;1304;10.26666641;47.13138962
ST.JAKOB/DEF.;1383;12.35388851;46.9169426
ST.LEONHARD/PITZTAL;1454;10.86555576;47.02722168
STEINACH AM BRENNER;1036;11.46611118;47.09833145
TANNHEIM;1100;10.50583363;47.50027847
UMHAUSEN;1035;10.92888832;47.13916779
VALLUGA;2805;10.21277809;47.15750122
VIRGEN;1212;12.45583344;47.0027771
ALBERSCHWENDE;715;9.848610878;47.45750046
BLUDENZ;571;9.829443932;47.14777756
BRAND;1029;9.738332748;47.10305405
BREGENZ;424;9.746110916;47.49916458
DORNBIRN;407;9.725554466;47.43249893
FELDKIRCH;438;9.609722137;47.27111053
FRAXERN;807;9.674444199;47.31416702
GASCHURN;976;10.02861023;46.98583221
LANGEN AM ARLBERG;1221;10.12333298;47.13166428
LATERNS-GAPFOHL;1559;9.760000229;47.27499771
LECH AM ARLBERG;1442;10.1408329;47.20999908
MITTELBERG;1204;10.15250015;47.32333374
ROHRSPITZ;395;9.629999161;47.4972229
SCHOPPERNAU;839;10.01777744;47.31138992
SCHRÖCKEN;1244;10.08611107;47.26166534
SULZBERG;1018;9.914722443;47.52222061
WARTH;1478;10.1861105;47.25583267
WIEN-DONAUFELD;160;16.43138885;48.25722122
WIEN-HOHE WARTE;198;16.35638809;48.24861145
WIEN-INNERE STADT;177;16.36694336;48.19833374
WIEN-JUBILÄUMSWARTE;450;16.26527786;48.2211113
WIEN-MARIABRUNN;225;16.2294445;48.20694351
WIEN-STAMMERSDORF;191;16.40555573;48.30583191
WIEN-UNTERLAA;200;16.41944313;48.125
